"date","Area_Name","Area_Type","Mortgage Affordability Index","Deposit Affordability Index","Rent Affordability Index"
2004-09-30,"Marlborough","Reg",0.7082,0.9151,0.9248
2004-09-30,"Nelson","Reg",0.7284,0.9413,1.0052
2004-09-30,"Northland","Reg",0.8029,1.0375,1.0405
2004-09-30,"Otago","Reg",0.7454,0.9632,0.9638
2004-09-30,"Southland","Reg",0.9501,1.2277,0.9309
2004-09-30,"Taranaki","Reg",0.8596,1.1108,1.0194
2004-09-30,"Tasman","Reg",0.6924,0.8947,0.9867
2004-09-30,"Waikato","Reg",0.7962,1.0288,0.9735
2004-09-30,"Wellington","Reg",0.8208,1.0606,1.0346
2004-09-30,"West Coast","Reg",0.8725,1.1274,0.9947
2004-12-31,"Ashburton District","TA",0.9351,1.1821,1.0865
2004-12-31,"Buller District","TA",0.8901,1.1252,1.0951
2004-12-31,"Carterton District","TA",0.8651,1.0937,1.0597
2004-12-31,"Central Hawkes Bay District","TA",0.7883,0.9965,0.8489
2004-12-31,"Central Otago District","TA",0.7506,0.9489,0.9058
2004-12-31,"Christchurch City","TA",0.7876,0.9957,0.915
2004-12-31,"Clutha District","TA",0.819,1.0353,1.0191
2004-12-31,"Dunedin City","TA",0.7237,0.9148,1.0073
2004-12-31,"Far North District","TA",0.7949,1.0048,1.0166
2004-12-31,"Gisborne District","TA",0.8115,1.0258,1.0483
2004-12-31,"Gore District","TA",1.0455,1.3217,1.0456
2004-12-31,"Grey District","TA",0.8411,1.0632,0.9288
2004-12-31,"Hamilton City","TA",0.8447,1.0678,0.9271
2004-12-31,"Hastings District","TA",0.7323,0.9258,0.9801
2004-12-31,"Hauraki District","TA",0.8768,1.1084,1.1182
2004-12-31,"Horowhenua District","TA",0.8948,1.1312,1.0612
2004-12-31,"Hurunui District","TA",0.8822,1.1152,1.0247
2004-12-31,"Invercargill City","TA",0.93,1.1757,0.9136
2004-12-31,"Kaikoura District","TA",0.5805,0.7338,1.044
2004-12-31,"Kaipara District","TA",0.8016,1.0133,1.1241
2004-12-31,"Kapiti Coast District","TA",0.8402,1.0622,1.0267
2004-12-31,"Kawerau District","TA",0.9712,1.2278,1.1706
2004-12-31,"Hutt City","TA",0.8464,1.07,1.0612
2004-12-31,"MacKenzie District","TA",0.7952,1.0053,0.9026
2004-12-31,"Manawatu District","TA",0.9164,1.1584,1.0021
2004-12-31,"Marlborough District","TA",0.7178,0.9074,0.9045
2004-12-31,"Masterton District","TA",0.8292,1.0483,1.0719
2004-12-31,"Matamata Piako District","TA",0.9574,1.2103,1.1105
2004-12-31,"Napier City","TA",0.6936,0.8768,0.9614
2004-12-31,"Nelson City","TA",0.7644,0.9664,1.0021
2004-12-31,"New Plymouth District","TA",0.7612,0.9623,0.9736
2004-12-31,"New Zealand","NZ",0.8058,1.0186,0.9781
2004-12-31,"Opotiki District","TA",0.8502,1.0748,0.999
2004-12-31,"Otorohanga District","TA",0.967,1.2224,1.0917
2004-12-31,"Palmerston North City","TA",0.8303,1.0496,0.9693
2004-12-31,"Porirua City","TA",0.8533,1.0787,1.0267
2004-12-31,"Queenstown Lakes District","TA",0.7079,0.8949,0.9199
2004-12-31,"Rangitikei District","TA",0.9388,1.1868,1.0047
2004-12-31,"Rotorua District","TA",0.9074,1.1471,1.0343
2004-12-31,"Ruapehu District","TA",1.1382,1.4388,1.0783
2004-12-31,"Selwyn District","TA",1.0505,1.328,0.997
2004-12-31,"South Taranaki District","TA",1.0919,1.3804,1.0647
2004-12-31,"South Waikato District","TA",1.0999,1.3905,1.017
2004-12-31,"South Wairarapa District","TA",0.8415,1.0638,1.0301
2004-12-31,"Southland District","TA",0.9133,1.1545,0.9167
2004-12-31,"Stratford District","TA",1.0802,1.3655,1.1422
2004-12-31,"Tararua District","TA",0.9895,1.2509,1.0828
2004-12-31,"Tasman District","TA",0.6993,0.884,0.9946
2004-12-31,"Taupo District","TA",0.6326,0.7997,0.9851
2004-12-31,"Tauranga City","TA",0.652,0.8242,0.9505
2004-12-31,"Thames Coromandel District","TA",0.7007,0.8858,1.0085
2004-12-31,"Timaru District","TA",0.86,1.0872,0.9977
2004-12-31,"Upper Hutt City","TA",0.8474,1.0712,1.0511
2004-12-31,"Waikato District","TA",0.8524,1.0776,1.0288
2004-12-31,"Waimakariri District","TA",0.8696,1.0993,0.9786
