Suburb,Average property value,6-month change %,6-month change $
Monaco,"$760,000",2.56,19000
Nelson South,"$761,000",0.13,1000
Stepneyville,"$1,186,000",-2.06,-25000
Stoke,"$751,000",-0.79,-6000
Tahunanui,"$675,000",-2.03,-14000
The Brook,"$664,000",-1.92,-13000
The Wood,"$775,000",0.26,2000
Toi Toi,"$547,000",-0.36,-2000
Wakatu,"$716,000",0.28,2000
Washington Valley,"$622,000",0.81,5000
Ahipara,"$653,000",1.71,11000
Cable Bay,"$817,000",2.13,17000
Haruru,"$834,000",0.85,7000
Kaeo,"$800,000",-2.2,-18000
Kaikohe,"$413,000",1.72,7000
Kaitaia,"$455,000",-0.22,-1000
Karikari Peninsula,"$730,000",-0.14,-1000
Kawakawa,"$499,000",-1.58,-8000
Kerikeri,"$1,038,000",-1.14,-12000
Mangonui,"$801,000",-1.35,-11000
Paihia,"$816,000",0.25,2000
Russell,"$1,512,000",-1.24,-19000
Waipapa,"$1,035,000",1.87,19000
Dargaville,"$523,000",0.97,5000
Kaiwaka,"$923,000",0.22,2000
Mangawhai,"$1,395,000",1.31,18000
Mangawhai Heads,"$1,395,000",-0.5,-7000
Maungaturoto,"$764,000",1.46,11000
Paparoa,"$738,000",3.8,27000
Avenues,"$535,000",-1.29,-7000
Glenbervie,"$1,147,000",-0.61,-7000
Hikurangi,"$568,000",0,0
Kauri,"$1,024,000",-1.82,-19000
Kensington,"$613,000",-0.49,-3000
Langs Beach,"$2,234,000",3.91,84000
Maungatapere,"$1,026,000",0.79,8000
Maunu,"$959,000",-1.54,-15000
Morningside,"$539,000",-4.26,-24000
Ngunguru,"$969,000",-3.39,-34000
One Tree Point,"$1,066,000",-0.47,-5000
Onerahi,"$619,000",-1.75,-11000
Otangarei,"$366,000",-1.61,-6000
Parahaki,"$718,000",-1.64,-12000
Parua Bay,"$1,091,000",-0.27,-3000
Raumanga,"$473,000",-3.47,-17000
Regent,"$653,000",-2.54,-17000
Ruakaka,"$869,000",-3.44,-31000
Tamaterau,"$1,039,000",-4.5,-49000
Te Kamo,"$732,000",-2.66,-20000
Tikipunga,"$599,000",-1.8,-11000
Tutukaka,"$1,312,000",4.38,55000
Waipu,"$1,169,000",4.1,46000
Whangarei Heads,"$1,062,000",-0.93,-10000
Whau Valley,"$662,000",-2.93,-20000
Woodhill,"$574,000",-2.38,-14000
Alexandra,"$797,000",2.97,23000
Bridge Hill,"$971,000",2.97,28000
Clyde,"$979,000",3.49,33000
Cromwell,"$1,056,000",4.76,48000
Mount Pisa,"$1,527,000",2.35,35000
Ranfurly,"$469,000",2.4,11000
Roxburgh,"$505,000",3.48,17000
Balclutha,"$451,000",-0.66,-3000
Kaitangata,"$311,000",-0.32,-1000
Lawrence,"$471,000",1.73,8000
Milton,"$444,000",-0.89,-4000
Tapanui,"$437,000",0,0
Abbotsford,"$623,000",-1.58,-10000
Andersons Bay,"$665,000",-0.89,-6000
Belleknowes,"$801,000",-1.84,-15000
Bradford,"$583,000",-2.83,-17000
Brighton,"$744,000",-0.67,-5000
Brockville,"$520,000",-3.53,-19000
Calton Hill,"$469,000",-3.89,-19000
Caversham,"$459,000",-1.71,-8000
Concord,"$565,000",-3.58,-21000
Corstorphine,"$605,000",-1.14,-7000
Dunedin Central,"$696,000",-1.69,-12000
Fairfield,"$768,000",-1.16,-9000
Forbury,"$439,000",-3.52,-16000
Green Island,"$599,000",-3.39,-21000
Halfway Bush,"$630,000",-0.79,-5000
Helensburgh,"$721,000",-3.09,-23000
Kaikorai,"$580,000",-3.01,-18000
Kenmure,"$609,000",-1.62,-10000
Kew,"$640,000",-3.47,-23000
Liberton,"$476,000",-4.8,-24000
Maori Hill,"$1,031,000",-3.28,-35000
Maryhill,"$583,000",-2.51,-15000
Mornington,"$563,000",-3.92,-23000
Mosgiel,"$746,000",0.27,2000
Musselburgh,"$621,000",-2.51,-16000
North Dunedin,"$727,000",2.25,16000
North East Valley,"$547,000",-1.08,-6000
Outram,"$840,000",-1.18,-10000
Port Chalmers,"$556,000",-2.11,-12000
Roslyn,"$886,000",-0.89,-8000
Saint Clair,"$876,000",-0.23,-2000
Saint Kilda,"$507,000",-2.69,-14000
Sawyers Bay,"$657,000",-1.94,-13000
Shiel Hill,"$761,000",-3.91,-31000
South Dunedin,"$413,000",-0.96,-4000
Tainui,"$595,000",-1.82,-11000
Vauxhall,"$963,000",-2.13,-21000
Waikouaiti,"$530,000",-2.39,-13000
Wakari,"$602,000",-2.9,-18000
Waldronville,"$798,000",-0.87,-7000
Waverley,"$778,000",-2.99,-24000
Albert Town,"$1,687,000",3.82,62000
Arrowtown,"$2,978,000",6.36,178000
Arthurs Point,"$1,552,000",-1.96,-31000
Fernhill,"$1,416,000",2.53,35000
