Suburb,Local_authority,Average_property_value,Date
Appleby,Tasman,1051000,2024-11-01
Brightwater,Tasman,963000,2024-11-01
Peacocke,Hamilton,1128000,2024-11-01
Belmont,Auckland North Shore,1536000,2024-11-01
Pahurehure,Auckland Papakura,961000,2024-11-01
Sunnyvale,Auckland Waitakere,869000,2024-11-01
Dallington,Christchurch,600000,2024-11-01
Edgeware,Christchurch,563000,2024-11-01
Hornby,Christchurch,606000,2024-11-01
Shirley,Christchurch,646000,2024-11-01
Leeston,Selwyn,766000,2024-11-01
Woodhill,Whangarei,575000,2024-11-01
Mornington,Dunedin,578000,2024-11-01
Weston,Waitaki,774000,2024-11-01
Wallacetown,Southland,586000,2024-11-01
Highlands Park,New Plymouth,886000,2024-11-01
Otorohanga,Otorohanga,633000,2024-11-01
Tokoroa,South Waikato,422000,2024-11-01
Taita,Lower Hutt,625000,2024-11-01
Woburn,Lower Hutt,1166000,2024-11-01
Orakei,Auckland City,2374000,2024-11-01
Dannemora,Auckland Manukau,1672000,2024-11-01
Maraetai,Auckland Manukau,1524000,2024-11-01
Otara,Auckland Manukau,748000,2024-11-01
Shelly Park,Auckland Manukau,1545000,2024-11-01
Waiake,Auckland North Shore,1591000,2024-11-01
Hatfields Beach,Auckland Rodney,1142000,2024-11-01
Glendene,Auckland Waitakere,920000,2024-11-01
Massey,Auckland Waitakere,955000,2024-11-01
Avondale,Christchurch,563000,2024-11-01
Mount Pleasant,Christchurch,1146000,2024-11-01
Seaview,Timaru,478000,2024-11-01
Fernhill,Queenstown-Lakes,1360000,2024-11-01
Kelvin Heights,Queenstown-Lakes,2720000,2024-11-01
Riwaka,Tasman,809000,2024-11-01
Hamilton East,Hamilton,724000,2024-11-01
Maeroa,Hamilton,716000,2024-11-01
Wai o Taiki Bay,Auckland City,1508000,2024-11-01
Castor Bay,Auckland North Shore,1955000,2024-11-01
Pinehill,Auckland North Shore,1749000,2024-11-01
Parakai,Auckland Rodney,746000,2024-11-01
Wigram,Christchurch,867000,2024-11-01
Pirimai,Napier,611000,2024-11-01
Fairfield,Dunedin,777000,2024-11-01
Green Island,Dunedin,610000,2024-11-01
Kaikorai,Dunedin,584000,2024-11-01
Waverley,Dunedin,799000,2024-11-01
Holmes Hill,Waitaki,593000,2024-11-01
Riverton/Aparima,Southland,677000,2024-11-01
Kihikihi,Waipa,757000,2024-11-01
Saint Marys Bay,Auckland City,2868000,2024-11-01
The Gardens,Auckland Manukau,1255000,2024-11-01
Schnapper Rock,Auckland North Shore,1633000,2024-11-01
Matata,Whakatane,867000,2024-11-01
Hampstead,Ashburton,464000,2024-11-01
Harewood,Christchurch,1108000,2024-11-01
Raureka,Hastings,605000,2024-11-01
Dannevirke,Tararua,484000,2024-11-01
Milton,Clutha,448000,2024-11-01
Abbotsford,Dunedin,628000,2024-11-01
Halfway Bush,Dunedin,633000,2024-11-01
Lake Hawea,Queenstown-Lakes,1299000,2024-11-01
Kakanui,Waitaki,656000,2024-11-01
Naenae,Lower Hutt,623000,2024-11-01
Eden Terrace,Auckland City,802000,2024-11-01
Onetangi,Auckland City,1946000,2024-11-01
Saint Heliers,Auckland City,2301000,2024-11-01
Albany,Auckland North Shore,1118000,2024-11-01
Bayview,Auckland North Shore,996000,2024-11-01
Devonport,Auckland North Shore,2121000,2024-11-01
Ngongotaha,Rotorua,687000,2024-11-01
Omokoroa,Western Bay of Plenty,1124000,2024-11-01
Methven,Ashburton,728000,2024-11-01
Beckenham,Christchurch,874000,2024-11-01
Belfast,Christchurch,697000,2024-11-01
Merivale,Christchurch,1577000,2024-11-01
Stoke,Nelson,739000,2024-11-01
Mount Wellington,Auckland City,958000,2024-11-01
Weymouth,Auckland Manukau,775000,2024-11-01
Wiri,Auckland Manukau,671000,2024-11-01
Chatswood,Auckland North Shore,1469000,2024-11-01
Hamurana,Rotorua,1178000,2024-11-01
Hillcrest,Rotorua,590000,2024-11-01
Avonside,Christchurch,545000,2024-11-01
Bishopdale,Christchurch,687000,2024-11-01
Bromley,Christchurch,524000,2024-11-01
Opawa,Christchurch,783000,2024-11-01
Sockburn,Christchurch,623000,2024-11-01
Gleniti,Timaru,821000,2024-11-01
Whataupoko,Gisborne,818000,2024-11-01
Otane,Central Hawke's Bay,752000,2024-11-01
Tokomaru,Horowhenua,659000,2024-11-01
Mosgiel,Dunedin,742000,2024-11-01
Saint Clair,Dunedin,871000,2024-11-01
Inglewood,New Plymouth,643000,2024-11-01
Whalers Gate,New Plymouth,777000,2024-11-01
Eltham,South Taranaki,419000,2024-11-01
Normanby,South Taranaki,519000,2024-11-01
Patea,South Taranaki,307000,2024-11-01
Takaka,Tasman,732000,2024-11-01
Fairfield,Hamilton,752000,2024-11-01
Otahuhu,Auckland City,746000,2024-11-01
Three Kings,Auckland City,1123000,2024-11-01
Northpark,Auckland Manukau,1444000,2024-11-01
Randwick Park,Auckland Manukau,768000,2024-11-01
Unsworth Heights,Auckland North Shore,1163000,2024-11-01
Athenree,Western Bay of Plenty,1114000,2024-11-01
Clifton,Christchurch,1335000,2024-11-01
Southshore,Christchurch,718000,2024-11-01
Oxford,Waimakariri,702000,2024-11-01
Outram,Dunedin,848000,2024-11-01
Matamata,Matamata-Piako,803000,2024-11-01
Tuakau,Waikato,830000,2024-11-01
Leamington,Waipa,938000,2024-11-01
One Tree Hill,Auckland City,1316000,2024-11-01
Manly,Auckland Rodney,1221000,2024-11-01
Snells Beach,Auckland Rodney,1092000,2024-11-01
Koutu,Rotorua,509000,2024-11-01
Te Puke,Western Bay of Plenty,825000,2024-11-01
Waltham,Christchurch,517000,2024-11-01
Swannanoa,Waimakariri,1286000,2024-11-01
Lytton West,Gisborne,908000,2024-11-01
Ohau,Horowhenua,968000,2024-11-01
Eketahuna,Tararua,422000,2024-11-01
Toi Toi,Nelson,547000,2024-11-01
Horahora,Whangarei,634000,2024-11-01
Maryhill,Dunedin,592000,2024-11-01
Oamaru North,Waitaki,494000,2024-11-01
Maungaraki,Lower Hutt,850000,2024-11-01
Panmure,Auckland City,978000,2024-11-01
Goodwood Heights,Auckland Manukau,1040000,2024-11-01
Mellons Bay,Auckland Manukau,2081000,2024-11-01
Takapuna,Auckland North Shore,2164000,2024-11-01
Gate Pa,Tauranga,678000,2024-11-01
Hoon Hay,Christchurch,671000,2024-11-01
Huntsbury,Christchurch,1142000,2024-11-01
Westmorland,Christchurch,1168000,2024-11-01
Woolston,Christchurch,581000,2024-11-01
Marybank,Nelson,916000,2024-11-01
Nelson,Nelson,1124000,2024-11-01
Kensington,Whangarei,605000,2024-11-01
Regent,Whangarei,653000,2024-11-01
Glenview,Waipa,756000,2024-11-01
Ohaupo,Waipa,1285000,2024-11-01
Korokoro,Lower Hutt,948000,2024-11-01
Bucklands Beach,Auckland Manukau,1658000,2024-11-01
Eastern Beach,Auckland Manukau,1855000,2024-11-01
Favona,Auckland Manukau,850000,2024-11-01
Tahawai,Western Bay of Plenty,1253000,2024-11-01
Hillsborough,Christchurch,820000,2024-11-01
Papanui,Christchurch,768000,2024-11-01
Hanmer Springs,Hurunui,839000,2024-11-01
Kirwee,Selwyn,998000,2024-11-01
Gisborne,Gisborne,550000,2024-11-01
Bunnythorpe,Manawatu,888000,2024-11-01
Witherlea,Marlborough,764000,2024-11-01
Kauri,Whangarei,1057000,2024-11-01
Balclutha,Clutha,452000,2024-11-01
Andersons Bay,Dunedin,668000,2024-11-01
Belleknowes,Dunedin,796000,2024-11-01
Calton Hill,Dunedin,483000,2024-11-01
North East Valley,Dunedin,547000,2024-11-01
Luggate,Queenstown-Lakes,1179000,2024-11-01
South Hill,Waitaki,540000,2024-11-01
Lower Vogeltown,New Plymouth,719000,2024-11-01
Oakura,New Plymouth,1340000,2024-11-01
Hawera,South Taranaki,539000,2024-11-01
Mapua,Tasman,1160000,2024-11-01
Silverdale,Hamilton,716000,2024-11-01
Westmere,Auckland City,2527000,2024-11-01
Pukehangi,Rotorua,617000,2024-11-01
Maungatapu,Tauranga,877000,2024-11-01
North New Brighton,Christchurch,578000,2024-11-01
Strowan,Christchurch,1222000,2024-11-01
Sydenham,Christchurch,564000,2024-11-01
Waipukurau,Central Hawke's Bay,629000,2024-11-01
Sanson,Manawatu,657000,2024-11-01
Te Anau,Southland,781000,2024-11-01
Claudelands,Hamilton,752000,2024-11-01
Melville,Hamilton,640000,2024-11-01
Tirau,South Waikato,654000,2024-11-01
Churton Park,Wellington,1080000,2024-11-01
Hillsborough,Auckland City,1257000,2024-11-01
Point England,Auckland City,957000,2024-11-01
Stonefields,Auckland City,1535000,2024-11-01
Mangakakahi,Rotorua,512000,2024-11-01
Sunnybrook,Rotorua,698000,2024-11-01
Western Heights,Rotorua,510000,2024-11-01
Brookfield,Tauranga,797000,2024-11-01
Linwood,Christchurch,503000,2024-11-01
Kaikoura,Kaikoura,774000,2024-11-01
Kaiapoi,Waimakariri,699000,2024-11-01
Elgin,Gisborne,471000,2024-11-01
Flaxmere,Hastings,486000,2024-11-01
Maraenui,Napier,473000,2024-11-01
Shannon,Horowhenua,478000,2024-11-01
Tahunanui,Nelson,686000,2024-11-01
Onerahi,Whangarei,625000,2024-11-01
Raumanga,Whangarei,477000,2024-11-01
Whau Valley,Whangarei,672000,2024-11-01
Brockville,Dunedin,528000,2024-11-01
North Dunedin,Dunedin,703000,2024-11-01
Roslyn,Dunedin,888000,2024-11-01
Shiel Hill,Dunedin,783000,2024-11-01
Glenorchy,Queenstown-Lakes,1493000,2024-11-01
Merrilands,New Plymouth,769000,2024-11-01
Deanwell,Waipa,633000,2024-11-01
Auckland Central,Auckland City,573000,2024-11-01
Onehunga,Auckland City,1055000,2024-11-01
Sandringham,Auckland City,1343000,2024-11-01
Wesley,Auckland City,1088000,2024-11-01
Farm Cove,Auckland Manukau,1716000,2024-11-01
Long Bay,Auckland North Shore,1678000,2024-11-01
Redcliffs,Christchurch,1184000,2024-11-01
Pleasant Point,Timaru,603000,2024-11-01
Atawhai,Nelson,928000,2024-11-01
Enner Glynn,Nelson,886000,2024-11-01
The Brook,Nelson,688000,2024-11-01
Avenues,Whangarei,530000,2024-11-01
Maunu,Whangarei,971000,2024-11-01
Parahaki,Whangarei,719000,2024-11-01
Paeroa,Hauraki,576000,2024-11-01
Kingsland,Auckland City,1346000,2024-11-01
Totara Heights,Auckland Manukau,1001000,2024-11-01
Hauraki,Auckland North Shore,1964000,2024-11-01
Pomare,Rotorua,714000,2024-11-01
Greerton,Tauranga,710000,2024-11-01
Minden,Western Bay of Plenty,1593000,2024-11-01
Casebrook,Christchurch,838000,2024-11-01
Kaiti,Gisborne,508000,2024-11-01
Napier South,Napier,648000,2024-11-01
Terrace End,Palmerston North,628000,2024-11-01
Taumarunui,Ruapehu,358000,2024-11-01
Picton,Marlborough,645000,2024-11-01
Washington Valley,Nelson,614000,2024-11-01
Rototuna,Hamilton,992000,2024-11-01
Kelson,Lower Hutt,830000,2024-11-01
Botany Downs,Auckland Manukau,1238000,2024-11-01
Cockle Bay,Auckland Manukau,1580000,2024-11-01
Golflands,Auckland Manukau,1278000,2024-11-01
Manurewa,Auckland Manukau,787000,2024-11-01
Hillcrest,Auckland North Shore,1201000,2024-11-01
Fairy Springs,Rotorua,542000,2024-11-01
Elgin,Ashburton,964000,2024-11-01
Burwood,Christchurch,693000,2024-11-01
Cashmere,Christchurch,1157000,2024-11-01
Northcote,Christchurch,583000,2024-11-01
Upper Riccarton,Christchurch,683000,2024-11-01
Darfield,Selwyn,842000,2024-11-01
Woodend,Waimakariri,731000,2024-11-01
Inner Kaiti,Gisborne,693000,2024-11-01
Castlecliff,Whanganui,436000,2024-11-01
Glenbervie,Whangarei,1170000,2024-11-01
Morningside,Whangarei,545000,2024-11-01
Port Chalmers,Dunedin,560000,2024-11-01
Motueka,Tasman,733000,2024-11-01
Huntington,Hamilton,1037000,2024-11-01
Nawton,Hamilton,658000,2024-11-01
Rototuna North,Hamilton,997000,2024-11-01
Pirongia,Waipa,1026000,2024-11-01
Normandale,Lower Hutt,880000,2024-11-01
Mount Albert,Auckland City,1289000,2024-11-01
Newmarket,Auckland City,870000,2024-11-01
Saint Johns,Auckland City,1460000,2024-11-01
Patumahoe,Auckland Franklin,1250000,2024-11-01
Waiuku,Auckland Franklin,862000,2024-11-01
East Tamaki,Auckland Manukau,1097000,2024-11-01
Manukau,Auckland Manukau,606000,2024-11-01
Northcote,Auckland North Shore,1192000,2024-11-01
Kelston,Auckland Waitakere,858000,2024-11-01
Westgate,Auckland Waitakere,882000,2024-11-01
Hairini,Tauranga,757000,2024-11-01
Aongatete,Western Bay of Plenty,1302000,2024-11-01
Oropi,Western Bay of Plenty,1523000,2024-11-01
Akaroa,Christchurch,1058000,2024-11-01
South New Brighton,Christchurch,624000,2024-11-01
St Albans,Christchurch,908000,2024-11-01
Rangiora,Waimakariri,714000,2024-11-01
Haumoana,Hastings,1161000,2024-11-01
Mayfield,Marlborough,571000,2024-11-01
Springlands,Marlborough,834000,2024-11-01
Kaikohe,Far North,402000,2024-11-01
Ruakaka,Whangarei,890000,2024-11-01
Tikipunga,Whangarei,602000,2024-11-01
Dunedin Central,Dunedin,704000,2024-11-01
Sawyers Bay,Dunedin,668000,2024-11-01
Otautau,Southland,415000,2024-11-01
Queenwood,Hamilton,996000,2024-11-01
Morrinsville,Matamata-Piako,790000,2024-11-01
Solway,Masterton,616000,2024-11-01
Camborne,Porirua,920000,2024-11-01
Freemans Bay,Auckland City,1648000,2024-11-01
Ponsonby,Auckland City,2334000,2024-11-01
Mangere,Auckland Manukau,845000,2024-11-01
Ranui,Auckland Waitakere,846000,2024-11-01
Northwood,Christchurch,1071000,2024-11-01
Westshore,Napier,999000,2024-11-01
Tangimoana,Manawatu,442000,2024-11-01
Aokautere,Palmerston North,1168000,2024-11-01
Forbury,Dunedin,448000,2024-11-01
Musselburgh,Dunedin,636000,2024-11-01
Waikouaiti,Dunedin,535000,2024-11-01
Oamaru,Waitaki,449000,2024-11-01
Enderley,Hamilton,612000,2024-11-01
Hamilton Central,Hamilton,740000,2024-11-01
St Andrews,Hamilton,826000,2024-11-01
Whitiora,Hamilton,630000,2024-11-01
Ostend,Auckland City,1423000,2024-11-01
Papatoetoe,Auckland Manukau,824000,2024-11-01
Conifer Grove,Auckland Papakura,996000,2024-11-01
Tindalls Beach,Auckland Rodney,1607000,2024-11-01
Glenholme,Rotorua,645000,2024-11-01
Kawaha Point,Rotorua,755000,2024-11-01
Parklands,Christchurch,746000,2024-11-01
Saint Leonards,Hastings,593000,2024-11-01
Rongotea,Manawatu,715000,2024-11-01
Burleigh,Marlborough,1032000,2024-11-01
Eastbourne,Lower Hutt,1119000,2024-11-01
Stokes Valley,Lower Hutt,636000,2024-11-01
Cannons Creek,Porirua,560000,2024-11-01
Plimmerton,Porirua,990000,2024-11-01
Clouston Park,Upper Hutt,662000,2024-11-01
Morningside,Auckland City,1228000,2024-11-01
Browns Bay,Auckland North Shore,1231000,2024-11-01
Matua,Tauranga,1175000,2024-11-01
Otumoetai,Tauranga,1014000,2024-11-01
Addington,Christchurch,553000,2024-11-01
Lyttelton,Christchurch,768000,2024-11-01
New Brighton,Christchurch,549000,2024-11-01
West Melton,Selwyn,1296000,2024-11-01
Renwick,Marlborough,771000,2024-11-01
The Wood,Nelson,774000,2024-11-01
Kaitaia,Far North,451000,2024-11-01
Mangonui,Far North,825000,2024-11-01
Ngunguru,Whangarei,991000,2024-11-01
Caversham,Dunedin,468000,2024-11-01
Dinsdale,Hamilton,704000,2024-11-01
Raglan,Waikato,1173000,2024-11-01
Te Kauwhata,Waikato,825000,2024-11-01
Te Awamutu,Waipa,773000,2024-11-01
Fairfield,Lower Hutt,756000,2024-11-01
Berhampore,Wellington,827000,2024-11-01
Glen Innes,Auckland City,1112000,2024-11-01
East Tamaki Heights,Auckland Manukau,1754000,2024-11-01
Rothesay Bay,Auckland North Shore,1591000,2024-11-01
Gulf Harbour,Auckland Rodney,1069000,2024-11-01
Matakana,Auckland Rodney,1916000,2024-11-01
Titirangi,Auckland Waitakere,1165000,2024-11-01
Waiotahe,Opotiki,987000,2024-11-01
Judea,Tauranga,722000,2024-11-01
Ohauiti,Western Bay of Plenty,1092000,2024-11-01
Pukehina,Western Bay of Plenty,1240000,2024-11-01
Christchurch Central,Christchurch,693000,2024-11-01
Bay View,Napier,996000,2024-11-01
Takaro,Palmerston North,549000,2024-11-01
Haruru,Far North,826000,2024-11-01
Jacks Point,Queenstown-Lakes,1793000,2024-11-01
Hurdon,New Plymouth,803000,2024-11-01
Bader,Hamilton,582000,2024-11-01
Chartwell,Hamilton,825000,2024-11-01
Frankton,Hamilton,641000,2024-11-01
Grandview Heights,Hamilton,876000,2024-11-01
Hillcrest,Hamilton,769000,2024-11-01
Ngaruawahia,Waikato,724000,2024-11-01
Onewhero,Waikato,980000,2024-11-01
Alicetown,Lower Hutt,794000,2024-11-01
Avalon,Lower Hutt,711000,2024-11-01
Trentham,Upper Hutt,711000,2024-11-01
Crofton Downs,Wellington,1000000,2024-11-01
Island Bay,Wellington,1099000,2024-11-01
Royal Oak,Auckland City,1350000,2024-11-01
Tauranga South,Tauranga,873000,2024-11-01
Ashburton,Ashburton,523000,2024-11-01
Kelvin Grove,Palmerston North,797000,2024-11-01
Maungakaramea,Whangarei,857000,2024-11-01
Palmerston,Waitaki,462000,2024-11-01
Chedworth,Hamilton,882000,2024-11-01
Pukete,Hamilton,799000,2024-11-01
Fairview Downs,Waikato,705000,2024-11-01
Ngahinapouri,Waipa,1337000,2024-11-01
Epuni,Lower Hutt,771000,2024-11-01
Aotea,Porirua,1204000,2024-11-01
Blockhouse Bay,Auckland City,1139000,2024-11-01
Remuera,Auckland City,2622000,2024-11-01
Mairangi Bay,Auckland North Shore,1725000,2024-11-01
Whanganui,Whanganui,419000,2024-11-01
Te Kamo,Whangarei,740000,2024-11-01
Kenmure,Dunedin,616000,2024-11-01
Wakari,Dunedin,600000,2024-11-01
Gore,Gore,478000,2024-11-01
Forest Lake,Hamilton,733000,2024-11-01
Karapiro,Waipa,1438000,2024-11-01
Pukerua Bay,Porirua,859000,2024-11-01
Lynfield,Auckland City,1296000,2024-11-01
Somerville,Auckland Manukau,1455000,2024-11-01
Green Bay,Auckland Waitakere,1155000,2024-11-01
Utuhina,Rotorua,563000,2024-11-01
Waihi Beach,Western Bay of Plenty,1478000,2024-11-01
Waipawa,Central Hawke's Bay,622000,2024-11-01
Highbury,Palmerston North,523000,2024-11-01
Milson,Palmerston North,618000,2024-11-01
Kaeo,Far North,809000,2024-11-01
Maungatapere,Whangarei,1040000,2024-11-01
Ravensbourne,Dunedin,520000,2024-11-01
Paraparaumu,Kapiti Coast,803000,2024-11-01
Pakuranga,Auckland Manukau,1104000,2024-11-01
Kumeu,Auckland Rodney,1494000,2024-11-01
Silverdale,Auckland Rodney,1328000,2024-11-01
Papamoa,Western Bay of Plenty,887000,2024-11-01
Havelock,Marlborough,694000,2024-11-01
Waikawa,Marlborough,958000,2024-11-01
Tainui,Dunedin,598000,2024-11-01
Cambridge,Waipa,1185000,2024-11-01
Petone,Lower Hutt,813000,2024-11-01
Papakowhai,Porirua,873000,2024-11-01
Glendowie,Auckland City,2204000,2024-11-01
Hillpark,Auckland Manukau,908000,2024-11-01
Sunnyhills,Auckland Manukau,1584000,2024-11-01
Wattle Downs,Auckland Manukau,1012000,2024-11-01
Henderson,Auckland Waitakere,906000,2024-11-01
Mangapapa,Gisborne,631000,2024-11-01
Taradale,Napier,813000,2024-11-01
Whanganui East,Whanganui,461000,2024-11-01
Blenheim,Marlborough,604000,2024-11-01
Tutukaka,Whangarei,1270000,2024-11-01
Fitzroy,Hamilton,770000,2024-11-01
Whatawhata,Waikato,1193000,2024-11-01
Lansdowne,Masterton,633000,2024-11-01
Wilton,Wellington,910000,2024-11-01
Hokitika,Westland,466000,2024-11-01
New Windsor,Auckland City,1177000,2024-11-01
Pukekohe,Auckland Franklin,893000,2024-11-01
Howick,Auckland Manukau,1151000,2024-11-01
Pakuranga Heights,Auckland Manukau,1111000,2024-11-01
Birkdale,Auckland North Shore,940000,2024-11-01
Welcome Bay,Western Bay of Plenty,896000,2024-11-01
Whakamarama,Western Bay of Plenty,1523000,2024-11-01
Ahuriri,Napier,1024000,2024-11-01
Tamatea,Napier,597000,2024-11-01
Hokowhitu,Palmerston North,780000,2024-11-01
Hurworth,New Plymouth,1133000,2024-11-01
Flagstaff,Hamilton,1101000,2024-11-01
Horotiu,Waikato,943000,2024-11-01
Hutt Central,Lower Hutt,970000,2024-11-01
Waterloo,Lower Hutt,827000,2024-11-01
Paremata,Porirua,928000,2024-11-01
Johnsonville,Wellington,822000,2024-11-01
Penrose,Auckland City,964000,2024-11-01
Mangere Bridge,Auckland Manukau,1131000,2024-11-01
Narrow Neck,Auckland North Shore,1910000,2024-11-01
Northcote Point,Auckland North Shore,1686000,2024-11-01
Northcross,Auckland North Shore,1264000,2024-11-01
Warkworth,Auckland Rodney,1190000,2024-11-01
Pyes Pa,Western Bay of Plenty,1101000,2024-11-01
Meeanee,Napier,1160000,2024-11-01
Ashhurst,Manawatu,716000,2024-11-01
Fitzherbert,Palmerston North,934000,2024-11-01
Hamilton Lake,Hamilton,889000,2024-11-01
Waihi,Hauraki,702000,2024-11-01
Pokeno,Waikato,1009000,2024-11-01
Temple View,Waipa,995000,2024-11-01
Ebdentown,Upper Hutt,660000,2024-11-01
Ellerslie,Auckland City,1177000,2024-11-01
Epsom,Auckland City,2132000,2024-11-01
Point Chevalier,Auckland City,1820000,2024-11-01
Clarks Beach,Auckland Franklin,1135000,2024-11-01
Wellsford,Auckland Rodney,819000,2024-11-01
Bellevue,Tauranga,794000,2024-11-01
Onekawa,Napier,580000,2024-11-01
Waipapa,Far North,1035000,2024-11-01
Parua Bay,Whangarei,1102000,2024-11-01
Waipu,Whangarei,1122000,2024-11-01
Kaitangata,Clutha,305000,2024-11-01
Pukekawa,Waikato,1104000,2024-11-01
Kuripuni,Masterton,524000,2024-11-01
Parnell,Auckland City,2049000,2024-11-01
Manurewa East,Auckland Manukau,709000,2024-11-01
Helensville,Auckland Rodney,1144000,2024-11-01
Swanson,Auckland Waitakere,1144000,2024-11-01
Katikati,Western Bay of Plenty,780000,2024-11-01
Cloverlea,Palmerston North,553000,2024-11-01
Whitianga,Thames-Coromandel,1026000,2024-11-01
Carterton,Carterton,635000,2024-11-01
Half Moon Bay,Auckland Manukau,1536000,2024-11-01
West Harbour,Auckland Waitakere,1246000,2024-11-01
Opotiki,Opotiki,456000,2024-11-01
Poraiti,Napier,1209000,2024-11-01
Marton,Rangitikei,497000,2024-11-01
Gonville,Whanganui,439000,2024-11-01
Concord,Dunedin,568000,2024-11-01
Maori Hill,Dunedin,1054000,2024-11-01
Mount Roskill,Auckland City,1116000,2024-11-01
Waterview,Auckland City,1001000,2024-11-01
Flat Bush,Auckland Manukau,1307000,2024-11-01
Highland Park,Auckland Manukau,1132000,2024-11-01
Wainui,Auckland Rodney,1377000,2024-11-01
Awapuni,Palmerston North,621000,2024-11-01
West End,Palmerston North,590000,2024-11-01
Springvale,Whanganui,578000,2024-11-01
Hikurangi,Whangarei,556000,2024-11-01
Boulcott,Lower Hutt,854000,2024-11-01
Paparangi,Wellington,823000,2024-11-01
Albany Heights,Auckland North Shore,1379000,2024-11-01
Birkenhead,Auckland North Shore,1289000,2024-11-01
Karaka,Auckland Papakura,1570000,2024-11-01
Halswell,Christchurch,856000,2024-11-01
Ilam,Christchurch,923000,2024-11-01
Manakau,Horowhenua,920000,2024-11-01
Tawhero,Whanganui,530000,2024-11-01
South Dunedin,Dunedin,419000,2024-11-01
Stratford,Stratford,515000,2024-11-01
Titahi Bay,Porirua,711000,2024-11-01
Featherston,South Wairarapa,569000,2024-11-01
Brown Owl,Upper Hutt,747000,2024-11-01
Wadestown,Wellington,1204000,2024-11-01
Woodridge,Wellington,916000,2024-11-01
Palmerston North,Palmerston North,614000,2024-11-01
Whangarei Heads,Whangarei,1050000,2024-11-01
New Plymouth,New Plymouth,867000,2024-11-01
Whitby,Porirua,955000,2024-11-01
Totara Park,Upper Hutt,692000,2024-11-01
Glen Eden,Auckland Waitakere,836000,2024-11-01
Durie Hill,Whanganui,601000,2024-11-01
Belmont,Lower Hutt,918000,2024-11-01
Wallaceville,Upper Hutt,763000,2024-11-01
Hataitai,Wellington,1131000,2024-11-01
Ngaio,Wellington,1012000,2024-11-01
Opaheke,Auckland Papakura,1014000,2024-11-01
Riverhead,Auckland Rodney,1799000,2024-11-01
Hobsonville,Auckland Waitakere,1102000,2024-11-01
Camberley,Hastings,529000,2024-11-01
Kaiwaka,Kaipara,915000,2024-11-01
Thames,Thames-Coromandel,710000,2024-11-01
Otaki,Kapiti Coast,709000,2024-11-01
Waikanae,Kapiti Coast,920000,2024-11-01
Masterton,Masterton,533000,2024-11-01
Birchville,Upper Hutt,707000,2024-11-01
Pinehaven,Upper Hutt,760000,2024-11-01
Milford,Auckland North Shore,1762000,2024-11-01
Takanini,Auckland Papakura,901000,2024-11-01
Feilding,Manawatu,650000,2024-11-01
Riversdale,Marlborough,552000,2024-11-01
One Tree Point,Whangarei,1060000,2024-11-01
Te Kowhai,Waikato,1296000,2024-11-01
Grafton,Auckland City,655000,2024-11-01
Redwoodtown,Marlborough,603000,2024-11-01
Ranui,Porirua,616000,2024-11-01
Elderslea,Upper Hutt,731000,2024-11-01
Herne Bay,Auckland City,3538000,2024-11-01
Te Awa,Napier,789000,2024-11-01
Westbrook,Palmerston North,553000,2024-11-01
Aramoho,Whanganui,487000,2024-11-01
Riverlea,Hamilton,839000,2024-11-01
Taupiri,Waikato,1018000,2024-11-01
Timberlea,Upper Hutt,805000,2024-11-01
Avondale,Auckland City,914000,2024-11-01
Roslyn,Palmerston North,535000,2024-11-01
Ahipara,Far North,638000,2024-11-01
Paparoa,Kaipara,709000,2024-11-01
Putaruru,South Waikato,534000,2024-11-01
Tairua,Thames-Coromandel,1070000,2024-11-01
Otaki Beach,Kapiti Coast,612000,2024-11-01
Karori,Wellington,1089000,2024-11-01
Lyall Bay,Wellington,931000,2024-11-01
Bluff Hill,Napier,922000,2024-11-01
Moera,Lower Hutt,578000,2024-11-01
Wainuiomata,Lower Hutt,640000,2024-11-01
Waiwhetu,Lower Hutt,724000,2024-11-01
Greytown,South Wairarapa,941000,2024-11-01
Silverstream,Upper Hutt,875000,2024-11-01
Newtown,Wellington,930000,2024-11-01
Westmere,Whanganui,1017000,2024-11-01
Maungaturoto,Kaipara,741000,2024-11-01
East Gore,Gore,397000,2024-11-01
Te Marua,Upper Hutt,819000,2024-11-01
Bayswater,Auckland North Shore,1643000,2024-11-01
Hospital Hill,Napier,909000,2024-11-01
College Estate,Whanganui,601000,2024-11-01
Kawakawa,Far North,498000,2024-11-01
Tamahere,Waikato,2019000,2024-11-01
Martinborough,South Wairarapa,979000,2024-11-01
Roseneath,Wellington,1462000,2024-11-01
Taihape,Rangitikei,400000,2024-11-01
Cooks Beach,Thames-Coromandel,1434000,2024-11-01
Waikanae Beach,Kapiti Coast,932000,2024-11-01
Heretaunga,Upper Hutt,931000,2024-11-01
Khandallah,Wellington,1202000,2024-11-01
Miramar,Wellington,986000,2024-11-01
Great Barrier Island (Aotea Island),Auckland City,773000,2024-11-01
Surfdale,Auckland City,1316000,2024-11-01
Stanmore Bay,Auckland Rodney,1034000,2024-11-01
Paihia,Far North,799000,2024-11-01
Pauanui,Thames-Coromandel,1532000,2024-11-01
Raumati Beach,Kapiti Coast,864000,2024-11-01
Henderson Valley,Auckland Waitakere,1271000,2024-11-01
Brooklyn,Wellington,1020000,2024-11-01
Mount Victoria,Wellington,1158000,2024-11-01
Waimauku,Auckland Rodney,1563000,2024-11-01
Greenmeadows,Napier,775000,2024-11-01
