Suburb,Local_authority,Average_property_value,Date
Hamurana,Rotorua,1230000,2024-02-01
Ebdentown,Upper Hutt,666000,2024-02-01
Wallaceville,Upper Hutt,768000,2024-02-01
Miramar,Wellington,1009000,2024-02-01
Aramoho,Whanganui,487000,2024-02-01
Whanganui,Whanganui,394000,2024-02-01
Waipu,Whangarei,1161000,2024-02-01
Ashburton,Ashburton,501000,2024-02-01
Narrow Neck,Auckland North Shore,2003000,2024-02-01
Waiake,Auckland North Shore,1613000,2024-02-01
Red Hill,Auckland Papakura,847000,2024-02-01
Stanmore Bay,Auckland Rodney,1082000,2024-02-01
Broomfield,Christchurch,703000,2024-02-01
Mount Pleasant,Christchurch,1164000,2024-02-01
Wainoni,Christchurch,511000,2024-02-01
Westmorland,Christchurch,1169000,2024-02-01
North East Valley,Dunedin,550000,2024-02-01
Saint Kilda,Dunedin,500000,2024-02-01
Forest Lake,Hamilton,754000,2024-02-01
Cheviot,Hurunui,507000,2024-02-01
Solway,Masterton,609000,2024-02-01
Western Heights,Rotorua,522000,2024-02-01
Wharewaka,Taupo,1361000,2024-02-01
Pirongia,Waipa,1061000,2024-02-01
Weston,Waitaki,711000,2024-02-01
Newlands,Wellington,855000,2024-02-01
Pyes Pa,Western Bay of Plenty,1136000,2024-02-01
Maunu,Whangarei,1001000,2024-02-01
Point Chevalier,Auckland City,1926000,2024-02-01
Three Kings,Auckland City,1191000,2024-02-01
Mangere,Auckland Manukau,873000,2024-02-01
Gulf Harbour,Auckland Rodney,1088000,2024-02-01
Wellsford,Auckland Rodney,839000,2024-02-01
Bryndwr,Christchurch,798000,2024-02-01
Templeton,Christchurch,799000,2024-02-01
Cable Bay,Far North,855000,2024-02-01
Fitzroy,Hamilton,793000,2024-02-01
Grandview Heights,Hamilton,917000,2024-02-01
Clive,Hastings,915000,2024-02-01
Havelock North,Hastings,1236000,2024-02-01
Paraparaumu Beach,Kapiti Coast,857000,2024-02-01
Waikanae Beach,Kapiti Coast,907000,2024-02-01
Ashhurst,Manawatu,715000,2024-02-01
Milson,Palmerston North,631000,2024-02-01
West End,Palmerston North,604000,2024-02-01
Hilltop,Taupo,870000,2024-02-01
Riverstone Terraces,Upper Hutt,1046000,2024-02-01
Fernside,Waimakariri,1281000,2024-02-01
Lyall Bay,Wellington,997000,2024-02-01
Ngaio,Wellington,1058000,2024-02-01
Woodridge,Wellington,973000,2024-02-01
Coastlands,Whakatane,1013000,2024-02-01
Durie Hill,Whanganui,594000,2024-02-01
Tawhero,Whanganui,526000,2024-02-01
Birkdale,Auckland North Shore,979000,2024-02-01
Browns Bay,Auckland North Shore,1233000,2024-02-01
Hatfields Beach,Auckland Rodney,1159000,2024-02-01
Te Atatu South,Auckland Waitakere,957000,2024-02-01
Waipawa,Central Hawke's Bay,635000,2024-02-01
Addington,Christchurch,557000,2024-02-01
Aidanfield,Christchurch,918000,2024-02-01
Avondale,Christchurch,555000,2024-02-01
New Brighton,Christchurch,559000,2024-02-01
Parklands,Christchurch,747000,2024-02-01
Forbury,Dunedin,453000,2024-02-01
Kaitaia,Far North,448000,2024-02-01
Leithfield,Hurunui,682000,2024-02-01
Bluff,Invercargill,347000,2024-02-01
Te Aroha,Matamata-Piako,688000,2024-02-01
Fitzroy,New Plymouth,922000,2024-02-01
Mapua,Tasman,1121000,2024-02-01
Kensington,Timaru,465000,2024-02-01
Timberlea,Upper Hutt,802000,2024-02-01
Te Kowhai,Waikato,1337000,2024-02-01
Loburn,Waimakariri,1157000,2024-02-01
Northland,Wellington,1093000,2024-02-01
Oropi,Western Bay of Plenty,1541000,2024-02-01
Springvale,Whanganui,569000,2024-02-01
Mount Wellington,Auckland City,1009000,2024-02-01
Royal Oak,Auckland City,1415000,2024-02-01
Bayswater,Auckland North Shore,1757000,2024-02-01
Titirangi,Auckland Waitakere,1212000,2024-02-01
Otane,Central Hawke's Bay,768000,2024-02-01
