Suburb,District,Average property value,3-month change %
Sunnyvale,Auckland Waitakere,"$873,000",0.9
New Plymouth,New Plymouth,"$874,000",0.9
Whangarei Heads,Whangarei,"$1,059,000",0.9
Westmorland,Christchurch,"$1,177,000",0.9
Whatawhata,Waikato,"$1,204,000",0.9
Strowan,Christchurch,"$1,232,000",0.9
Red Beach,Auckland Rodney,"$1,241,000",0.9
Botany Downs,Auckland Manukau,"$1,248,000",0.9
Buckland,Waikato,"$1,324,000",0.9
Kumeu,Auckland Rodney,"$1,513,000",0.9
Russell,Far North,"$1,541,000",0.9
Belmont,Auckland North Shore,"$1,542,000",0.9
East Tamaki Heights,Auckland Manukau,"$1,770,000",0.9
Parnell,Auckland City,"$2,084,000",0.9
Epsom,Auckland City,"$2,154,000",0.9
Kew,Invercargill,"$366,000",0.8
Aranui,Christchurch,"$490,000",0.8
Kaiti,Gisborne,"$512,000",0.8
Camberley,Hastings,"$533,000",0.8
Foxton Beach,Horowhenua,"$610,000",0.8
Raureka,Hastings,"$610,000",0.8
Otaki Beach,Kapiti Coast,"$618,000",0.8
Inglewood,New Plymouth,"$649,000",0.8
Saint Martins,Christchurch,"$764,000",0.8
Hillcrest,Hamilton,"$778,000",0.8
Halswell,Christchurch,"$863,000",0.8
Penrose,Auckland City,"$972,000",0.8
Hutt Central,Lower Hutt,"$976,000",0.8
Pyes Pa,Western Bay of Plenty,"$1,107,000",0.8
Glengarry,Invercargill,"$450,000",0.7
Balclutha,Clutha,"$456,000",0.7
Toi Toi,Nelson,"$551,000",0.7
Avondale,Christchurch,"$570,000",0.7
Featherston,South Wairarapa,"$570,000",0.7
Hornby,Christchurch,"$610,000",0.7
Redwood,Christchurch,"$675,000",0.7
Burwood,Christchurch,"$699,000",0.7
Ashhurst,Manawatu,"$719,000",0.7
Otahuhu,Auckland City,"$749,000",0.7
Parklands,Christchurch,"$750,000",0.7
Bryndwr,Christchurch,"$807,000",0.7
Darfield,Selwyn,"$846,000",0.7
Kelston,Auckland Waitakere,"$868,000",0.7
Waikanae,Kapiti Coast,"$928,000",0.7
Hataitai,Wellington,"$1,133,000",0.7
Cambridge,Waipa,"$1,194,000",0.7
Wainui,Auckland Rodney,"$1,398,000",0.7
