Suburb,TLA,Current average property value,1-year change %
Southbridge,Selwyn,"$655,000",0.8
West Melton,Selwyn,"$1,317,000",0.8
Waipukurau,Central Hawke's Bay,"$635,000",0.8
Maungaturoto,Kaipara,"$753,000",0.8
Clifton,Invercargill,"$396,000",0.8
Inglewood,New Plymouth,"$644,000",0.8
Rototuna,Hamilton,"$1,029,000",0.8
Birchville,Upper Hutt,"$714,000",0.8
Orewa,Auckland Rodney,"$1,246,000",0.7
Wellsford,Auckland Rodney,"$853,000",0.7
Oropi,Western Bay of Plenty,"$1,526,000",0.7
Addington,Christchurch,"$558,000",0.7
Swannanoa,Waimakariri,"$1,309,000",0.7
Waverley,Invercargill,"$570,000",0.7
Chartwell,Hamilton,"$839,000",0.7
Greytown,South Wairarapa,"$956,000",0.7
Milford,Auckland North Shore,"$1,799,000",0.6
Opotiki,Opotiki,"$473,000",0.6
Omanawa,Western Bay of Plenty,"$1,385,000",0.6
Clifton,Christchurch,"$1,339,000",0.6
Redcliffs,Christchurch,"$1,201,000",0.6
Glenwood,Timaru,"$547,000",0.6
Mayfair,Hastings,"$627,000",0.6
Fitzroy,New Plymouth,"$935,000",0.6
Dinsdale,Hamilton,"$718,000",0.6
Whitiora,Hamilton,"$654,000",0.6
Campbells Bay,Auckland North Shore,"$2,356,000",0.5
Minden,Western Bay of Plenty,"$1,599,000",0.5
Te Puke,Western Bay of Plenty,"$811,000",0.5
Hillsborough,Christchurch,"$828,000",0.5
Shirley,Christchurch,"$655,000",0.5
Darfield,Selwyn,"$844,000",0.5
Rolleston,Selwyn,"$863,000",0.5
Woodend,Waimakariri,"$733,000",0.5
Feilding,Manawatu,"$656,000",0.5
Whangarei Heads,Whangarei,"$1,072,000",0.5
Spotswood,New Plymouth,"$562,000",0.5
Paeroa,Hauraki,"$584,000",0.5
Pukekawa,Waikato,"$1,108,000",0.5
Leamington,Waipa,"$941,000",0.5
Ebdentown,Upper Hutt,"$668,000",0.5
Riverstone Terraces,Upper Hutt,"$1,041,000",0.5
Reefton,Buller,"$375,000",0.5
Fairview Heights,Auckland North Shore,"$1,632,000",0.4
Greenhithe,Auckland North Shore,"$1,790,000",0.4
Totara Vale,Auckland North Shore,"$1,023,000",0.4
Helensville,Auckland Rodney,"$1,183,000",0.4
Stillwater,Auckland Rodney,"$1,625,000",0.4
Glen Eden,Auckland Waitakere,"$853,000",0.4
Western Heights,Rotorua,"$512,000",0.4
Tauranga,Tauranga,"$989,000",0.4
Tahawai,Western Bay of Plenty,"$1,243,000",0.4
Cashmere,Christchurch,"$1,170,000",0.4
Seaview,Timaru,"$479,000",0.4
West End,Timaru,"$498,000",0.4
Maraenui,Napier,"$480,000",0.4
