Suburb,TLA,Average property value,YoY % change,YoY $ change
Papakowhai,Porirua,"$895,000",3.8,"$33,000"
Wadestown,Wellington,"$1,273,000",3.8,"$47,000"
Glenfield,Auckland North Shore,"$1,064,000",3.7,"$38,000"
Abbotsford,Dunedin,"$621,000",3.7,"$22,000"
Kenmure,Dunedin,"$615,000",3.7,"$22,000"
Naenae,Lower Hutt,"$641,000",3.7,"$23,000"
Burswood,Auckland Manukau,"$1,255,000",3.6,"$44,000"
Otara,Auckland Manukau,"$774,000",3.6,"$27,000"
Bayview,Auckland North Shore,"$1,029,000",3.6,"$36,000"
Templeton,Christchurch,"$804,000",3.6,"$28,000"
Arthurs Point,Queenstown-Lakes,"$1,689,000",3.6,"$58,000"
Appleby,Invercargill,"$341,000",3.6,"$12,000"
Ebdentown,Upper Hutt,"$689,000",3.6,"$24,000"
Miramar,Wellington,"$1,030,000",3.6,"$36,000"
South Dunedin,Dunedin,"$416,000",3.5,"$14,000"
Boulcott,Lower Hutt,"$893,000",3.5,"$30,000"
Koutu,Rotorua,"$522,000",3.4,"$17,000"
Pakuranga Heights,Auckland Manukau,"$1,183,000",3.3,"$38,000"
Randwick Park,Auckland Manukau,"$793,000",3.3,"$25,000"
Northcote,Christchurch,"$593,000",3.3,"$19,000"
Wanaka,Queenstown-Lakes,"$2,081,000",3.3,"$66,000"
Eastbourne,Lower Hutt,"$1,194,000",3.3,"$38,000"
Wainuiomata,Lower Hutt,"$660,000",3.3,"$21,000"
Northcote Point,Auckland North Shore,"$1,740,000",3.2,"$54,000"
Unsworth Heights,Auckland North Shore,"$1,176,000",3.2,"$36,000"
Upper Riccarton,Christchurch,"$686,000",3.2,"$21,000"
Inner Kaiti,Gisborne,"$734,000",3.2,"$23,000"
Glenleith,Dunedin,"$770,000",3.2,"$24,000"
Freemans Bay,Auckland City,"$1,715,000",3.1,"$51,000"
Totara Vale,Auckland North Shore,"$1,031,000",3.1,"$31,000"
Hatfields Beach,Auckland Rodney,"$1,164,000",3.1,"$35,000"
Kawaha Point,Rotorua,"$797,000",3.1,"$24,000"
Twizel,Mackenzie,"$790,000",3.1,"$24,000"
Watlington,Timaru,"$470,000",3.1,"$14,000"
Waikouaiti,Dunedin,"$532,000",3.1,"$16,000"
Forest Lake,Hamilton,"$761,000",3.1,"$23,000"
Grafton,Auckland City,"$686,000",3,"$20,000"
Parnell,Auckland City,"$2,162,000",3,"$63,000"
Greenhithe,Auckland North Shore,"$1,774,000",3,"$51,000"
Akina,Hastings,"$624,000",3,"$18,000"
North East Valley,Dunedin,"$551,000",3,"$16,000"
